Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;14,00;12,15;14,56;0,00;0,00;0,00;0,00;8,00;0,00;500,75;34,58;196,27;780,30
Banten;7,99;22,78;16,19;18,61;82,64;108,54;39,62;25,40;58,00;27,53;21,63;29,55;458,48
Daerah Istimewa Yogyakarta;0,00;0,00;0,00;0,00;0,00;386,50;597,70;597,64;586,91;0,00;0,00;0,00;2.168,75
Jambi;1.116,45;877,48;960,92;607,70;933,35;703,97;587,35;671,69;884,53;788,61;900,89;1.167,55;10.200,49
Jawa Tengah;3.372,43;9.134,21;2.987,67;7.738,60;6.459,51;6.162,98;6.941,78;13.625,28;13.633,15;27.953,28;16.426,57;21.060,04;135.495,49
Jawa Timur;9.510,11;2.187,66;7.473,46;3.761,57;7.615,13;13.891,22;9.212,43;16.909,30;32.939,95;55.865,39;22.614,88;57.106,00;239.087,10
Kalimantan Barat;739,69;664,49;726,52;553,50;671,39;410,38;449,60;595,29;489,83;620,35;701,60;843,65;7.466,30
Kalimantan Selatan;25,87;50,12;52,28;66,58;46,88;62,22;72,59;67,58;68,63;894,75;1.202,79;905,48;3.515,77
Kalimantan Tengah;3.543,59;24.794,45;320,35;0,00;20.814,22;50.750,69;704,77;19.818,46;27.385,64;12.776,29;44.257,45;1.363,89;206.529,81
Kalimantan Timur;81,55;130,27;155,32;82,89;70,23;88,32;287,40;123,88;128,28;175,50;158,14;151,18;1.632,96
Kalimantan Utara;0,00;32,53;0,00;0,00;0,00;32,32;0,00;33,10;33,51;0,00;35,67;0,00;167,13
Lampung;328,80;281,30;4.327,89;402,14;290,38;45.914,08;11.306,49;351,15;28.494,88;715,62;63.432,39;2.535,01;158.380,13
Papua;60,00;30,00;0,00;0,00;20,00;10,00;20,00;40,00;30,00;20,00;40,00;30,00;300,00
Riau;77,76;623,60;818,37;557,99;714,87;694,25;730,19;540,55;771,82;507,49;794,60;610,65;7.442,13
Sulawesi Selatan;322,24;348,28;476,54;331,00;310,28;458,02;379,34;524,95;353,41;523,80;469,95;775,93;5.273,74
Sumatera Barat;583,34;278,90;386,42;229,24;365,60;229,80;510,32;262,92;375,31;430,11;347,51;916,51;4.915,99
Sumatera Selatan;0,00;127,05;64,46;0,00;134,99;74,79;78,48;73,46;82,29;496,54;117,62;243,43;1.493,11
Sumatera Utara;2.489,81;1.793,35;1.560,16;2.303,80;2.084,53;2.536,32;3.724,00;3.565,59;3.248,33;3.470,87;2.239,73;1.140,01;30.156,49
