Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;501.812,94;373.407,85;566.692,00;595.203,11;330.723,85;346.934,68;456.543,15;382.358,05;306.355,24;365.912,89;388.129,56;467.772,53;
Banten;1.426.037,31;1.534.378,08;1.946.273,01;1.980.382,41;2.448.183,15;2.274.687,03;1.400.142,76;1.258.558,40;6.413.858,90;1.259.523,99;6.386.295,49;846.492,72;
Daerah Istimewa Yogyakarta;0,00;0,00;1.669,93;0,00;0,00;5.007,63;0,00;0,00;0,00;49,29;0,00;0,00;
Jambi;5.253.143,87;6.297.604,04;6.210.452,01;6.755.840,68;13.482.232,18;8.562.204,98;9.171.405,96;9.025.905,62;9.856.374,22;6.936.236,03;6.911.297,66;6.164.093,71;
Jawa Tengah;139.085.280,26;131.587.129,02;141.623.846,43;106.866.353,70;139.802.802,94;131.406.554,04;140.168.916,64;146.221.919,24;141.044.740,83;149.735.880,35;135.753.585,25;139.129.073,88;
Jawa Timur;204.416.269,48;210.723.384,31;217.357.156,61;177.828.518,03;200.139.470,99;197.330.467,26;231.071.113,79;251.960.218,82;231.825.820,27;221.714.590,70;224.586.678,04;224.277.179,96;
Kalimantan Barat;2.276.653,52;1.024.361,25;1.619.976,60;2.412.885,55;1.266.869,57;2.031.943,27;2.570.620,60;1.519.747,48;1.092.277,63;1.704.291,29;2.073.817,19;1.817.877,92;
Kalimantan Selatan;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.508,25;0,00;41.461,63;2.575.584,31;0,00;
Kalimantan Tengah;8.998.915,90;5.771.914,06;12.972.570,18;3.617.198,41;9.986.820,74;11.991.128,78;3.642.329,76;12.687.554,49;3.356.459,42;4.117.442,05;12.796.469,69;6.891.152,33;
Kalimantan Timur;7.168.364,16;7.991.525,97;6.650.858,59;6.266.882,72;6.470.391,82;7.272.012,96;7.271.829,22;5.859.520,54;8.371.396,90;5.166.001,44;2.576.977,20;2.453.914,77;
Kalimantan Utara;969.923,91;0,00;0,00;0,00;858.975,56;0,00;0,00;989.048,98;0,00;971.305,15;0,00;0,00;
Lampung;18.004.338,88;12.540.609,03;30.289.801,40;23.018.415,46;21.271.255,54;20.171.869,50;20.676.957,83;25.853.070,05;16.561.640,65;35.906.826,98;19.633.152,31;22.078.502,13;
Papua;0,00;1.606.305,71;10.456.989,85;662.214,86;1.642.138,46;0,00;0,00;3.019.368,43;8.127.090,94;1.137.319,60;826.707,10;8.614.995,07;
Riau;272.581.123,97;330.435.246,49;331.393.397,69;354.696.669,54;342.767.978,97;339.251.630,97;311.931.095,98;381.669.213,70;357.044.498,79;379.651.969,01;353.675.355,50;367.557.131,07;
Sulawesi Selatan;255.144,00;298.492,00;290.939,00;252.183,00;234.378,00;277.918,63;203.867,69;231.828,96;293.255,45;324.847,00;250.013,00;342.385,00;
Sumatera Barat;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28.996,51;0,00;0,00;0,00;0,00;
Sumatera Selatan;83.767.528,18;95.164.797,99;128.004.834,36;114.345.333,24;73.103.028,68;126.122.963,35;141.061.734,25;145.959.917,94;143.450.457,91;141.919.008,20;123.879.344,56;122.482.226,80;
Sumatera Utara;17.335.136,06;19.434.892,41;17.734.137,90;15.884.126,03;16.040.591,55;15.356.321,19;27.059.061,75;20.373.748,55;20.053.789,59;21.598.377,74;16.430.345,65;24.949.768,64;
