Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Banten;0,00;0,00;19,71;66,57;83,21;119,18;263,42;162,20;136,52;34,16;87,44;95,31;
Daerah Istimewa Yogyakarta;0,00;0,00;0,00;0,00;0,00;0,00;161,77;1.143,73;1.294,35;779,58;442,56;562,76;
Jambi;942,80;890,96;567,52;1.107,55;512,71;626,22;853,12;684,40;795,70;657,18;1.029,73;1.212,98;
Jawa Tengah;2.766,53;1.717,98;2.942,42;7.041,14;12.770,79;8.784,45;7.566,43;9.514,32;21.078,18;8.344,41;10.756,00;14.146,41;
Jawa Timur;382,05;4.829,84;5.546,91;5.500,06;5.702,85;11.934,50;20.443,13;22.970,46;27.579,73;17.388,94;15.881,47;42.776,83;
Kalimantan Barat;0,00;6,50;279,08;2,00;62,31;160,50;146,17;50,78;40,42;124,05;118,54;238,95;
Kalimantan Selatan;121,94;76,06;127,64;93,23;86,21;900,39;363,22;519,95;408,92;320,23;405,74;1.081,41;
Kalimantan Tengah;0,00;0,00;4,28;4,97;5,10;5,15;5,82;7,08;5,11;4,72;1.005,15;307,45;
Kalimantan Timur;51,97;138,99;59,66;67,17;97,23;60,45;76,02;83,81;78,21;87,88;128,48;316,79;
Kalimantan Utara;0,00;0,00;0,00;0,00;0,00;3,70;2,00;0,00;3,10;6,60;4,00;4,50;
Lampung;645,51;686,50;690,27;798,22;599,31;446,77;1.232,76;485,95;1.059,46;9.816,83;38.543,85;37.062,49;
Papua;4,00;60,00;0,00;10,00;0,00;30,00;385,00;216,00;30,00;550,00;170,00;1.227,91;
Riau;263,74;163,76;167,21;360,37;59,28;99,23;424,46;292,97;387,43;161,80;245,23;318,87;
Sulawesi Selatan;247,73;198,39;314,29;458,26;584,21;591,90;440,40;449,97;601,41;539,62;340,09;320,44;
Sumatera Barat;47,68;102,69;229,73;302,81;178,97;199,11;311,99;208,25;127,26;239,05;359,26;512,23;
Sumatera Selatan;23,41;10,49;38,41;24,14;23,25;143,03;145,43;123,50;95,96;104,07;102,65;128,10;
Sumatera Utara;98,65;2.059,07;2.147,68;350,44;303,06;186,78;12.955,09;3.940,08;4.615,36;4.455,67;2.294,23;4.021,84;
