Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;0,00;0,00;3,53;8,50;0,00;0,00;0,00;0,00;0,00;1.380,00;92,35;144,12;
Banten;0,00;41,80;42,81;59,69;87,25;67,34;8,49;136,06;144,04;145,21;52,17;68,93;
Daerah Istimewa Yogyakarta;0,00;0,00;0,00;101,71;374,69;869,19;854,52;0,00;0,00;0,00;0,00;2.398,89;
Jambi;962,06;1.196,16;1.018,53;1.016,62;936,99;1.166,44;667,84;490,21;624,83;715,24;1.211,17;757,84;
Jawa Tengah;1.998,10;3.135,84;6.905,49;10.594,03;7.505,73;8.923,17;2.988,28;4.281,89;9.517,11;12.852,64;13.345,56;19.665,86;
Jawa Timur;8.454,75;2.380,18;8.534,19;9.842,02;6.216,86;11.699,13;5.124,65;9.923,73;19.836,04;25.104,43;37.262,98;45.627,18;
Kalimantan Barat;0,00;124,81;46,32;181,28;158,07;810,62;117,39;197,05;162,50;128,82;134,41;309,65;
Kalimantan Selatan;131,03;124,71;159,93;245,31;659,12;153,45;11,16;60,71;222,14;112,64;124,85;2.205,03;
Kalimantan Tengah;224,15;526,86;1.064,64;1.180,58;1.566,96;879,09;118,60;579,92;235,94;501,47;151,88;13.083,37;
Kalimantan Timur;97,74;90,68;141,09;116,00;90,84;86,81;70,41;85,59;101,84;108,62;137,30;187,25;
Kalimantan Utara;0,00;15,51;11,58;10,30;30,12;32,51;34,01;36,11;36,64;29,45;44,06;23,68;
Lampung;2.317,94;391,74;607,29;395,60;360,03;329,77;129,04;199,61;962,02;7.989,43;37.907,94;69.198,73;
Papua;125,00;402,91;564,00;50,00;75,75;462,05;10,00;10,50;21,25;64,93;27,96;32,87;
Riau;261,17;248,14;390,17;260,01;134,83;290,73;326,98;16,92;523,61;181,68;380,72;108,41;
Sulawesi Selatan;307,96;408,31;516,42;559,95;522,92;421,20;514,12;471,05;488,82;736,51;597,61;1.094,15;
Sumatera Barat;312,54;558,59;559,78;535,28;453,23;356,59;184,00;303,17;361,18;516,15;626,40;487,81;
Sumatera Selatan;0,00;151,34;137,06;129,94;158,42;228,70;8,47;106,43;0,00;399,67;54,36;583,82;
Sumatera Utara;545,17;871,37;5.182,67;5.229,28;6.179,76;3.241,59;829,20;4.171,68;4.140,03;3.946,02;3.738,83;5.859,84;
