Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;0,00;0,00;0,00;0,00;0,00;0,00;653,00;0,00;10,67;14,93;582,09;114,00;
Banten;17,48;59,64;112,88;102,25;270,98;68,07;25,41;52,69;18,61;37,42;61,94;51,91;
Daerah Istimewa Yogyakarta;0,00;0,00;0,00;0,00;32,92;834,91;703,72;661,88;0,00;0,00;0,00;0,00;
Jambi;800,86;908,52;793,29;544,98;841,05;1.002,15;994,89;943,84;1.138,50;789,54;1.232,66;1.172,14;
Jawa Tengah;3.460,94;5.402,01;7.355,28;7.652,02;7.149,83;7.814,22;9.554,14;7.691,47;30.178,26;10.971,12;10.041,29;5.966,43;
Jawa Timur;2.483,58;4.497,89;6.824,56;11.797,62;14.965,01;11.919,03;12.679,89;12.900,91;29.375,47;45.979,38;27.859,64;93.492,25;
Kalimantan Barat;313,29;358,47;184,80;263,08;288,48;330,06;312,50;395,06;398,27;402,66;727,95;985,24;
Kalimantan Selatan;0,11;0,11;181,44;160,53;86,43;80,79;76,47;113,42;187,32;157,91;87,45;3.726,75;
Kalimantan Tengah;355,21;411,97;24.922,58;5.657,88;23.251,79;323,07;63.263,61;23.485,71;16.900,49;3.600,33;27.203,66;4.721,64;
Kalimantan Timur;51,52;81,81;71,62;103,27;64,95;65,78;72,81;73,34;63,26;132,68;100,32;240,54;
Kalimantan Utara;0,00;0,00;53,25;43,90;38,40;39,45;46,31;37,36;25,28;28,17;0,00;0,00;
Lampung;2.099,67;5.291,56;339,63;264,88;280,13;111,97;354,08;26.171,97;25.444,27;26.308,47;14.284,62;39.694,39;
Papua;35,80;40,00;115,00;15,00;100,00;62,00;60,00;20,00;70,00;20,00;70,00;20,00;
Riau;156,16;343,06;343,42;304,85;394,07;363,03;59,14;489,60;214,44;214,78;248,59;343,89;
Sulawesi Selatan;182,75;278,16;383,24;566,13;525,90;475,35;683,35;791,16;913,58;968,11;967,33;1.037,13;
Sumatera Barat;1.172,19;724,88;703,92;335,18;605,81;473,23;280,98;383,73;540,45;407,91;588,38;922,56;
Sumatera Selatan;48,29;152,73;109,77;73,92;55,66;152,73;129,89;132,90;424,80;146,58;447,93;249,29;
Sumatera Utara;2.714,86;3.204,58;1.893,37;3.082,76;1.874,47;2.599,19;2.769,92;5.358,19;3.422,58;3.595,79;1.597,81;2.795,06;
