Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;3321,04;3492,19;2858,08;2229,33;3211,03;2667,24;2304,17;2095,41;2745,01;2389,87;2766,44;2337,86;
Banten;6567,22;8180,95;7257,07;4676,48;5955,95;6747,56;7831,71;11376,83;9998,50;11274,63;7776,69;6790,11;
Daerah Istimewa Yogyakarta;9040,05;7894,20;9690,33;5733,53;10280,65;9593,79;7494,15;9458,92;10072,98;9144,58;8319,32;7502,78;
Jambi;532394,02;531562,15;555624,55;406319,07;468272,55;581856,20;550410,28;532220,30;535640,44;508089,57;492207,85;492452,50;
Jawa Tengah;409721,07;238866,06;272662,84;195566,00;278901,85;272843,31;302195,55;298849,34;283318,45;279717,51;285407,00;229928,35;
Jawa Timur;344725,65;296335,48;334162,43;210076,60;314329,92;331283,51;352437,59;373592,65;356965,42;351670,91;331882,54;304232,89;
Kalimantan Barat;82144,72;69705,59;102608,08;120596,18;81813,53;110026,62;128031,46;141469,45;132693,36;151155,75;116822,98;141792,00;
Kalimantan Selatan;12537,96;9921,14;5246,64;4955,77;10407,30;9579,37;16577,28;21524,06;17943,99;23435,16;17300,87;39800,10;
Kalimantan Tengah;187346,69;244028,18;282532,53;233348,72;298684,85;268985,82;292805,35;264873,45;250126,37;273596,95;282207,19;243675,40;
Kalimantan Timur;344715,59;307131,30;419929,93;395865,88;314348,74;363496,56;420575,53;468302,50;458844,50;471442,70;445892,39;489371,67;
Kalimantan Utara;92141,99;63724,42;98045,37;107905,66;124513,03;73528,60;83949,93;113510,86;72330,95;121484,25;115835,66;65646,75;
Lampung;49079,25;44657,34;47695,74;33145,74;52211,12;54535,00;60675,62;59621,77;50453,28;61490,11;56468,36;53606,48;
Papua;23096,46;30377,02;32104,96;22260,86;32218,26;31010,79;45944,12;47300,87;35639,43;30704,21;39566,78;30714,39;
Riau;1854510,96;2094529,67;2506600,78;1694572,19;1868224,87;2331506,64;2480155,09;2441965,20;2297865,09;2286750,62;2199323,94;2017550,25;
Sulawesi Selatan;1101,76;2462,37;786,06;984,33;515,01;1393,03;611,50;1726,10;117,61;1768,70;772,36;1776,46;
Sumatera Barat;3995,95;5382,98;3689,60;2715,05;2931,32;7945,33;5874,64;5786,00;7984,67;8269,71;6874,62;14211,30;
Sumatera Selatan;937759,64;991205,41;1050463,61;762761,15;844395,11;1069819,72;1185530,00;1196886,75;1145681,62;1064645,56;1022300,31;904380,23;
Sumatera Utara;209122,57;242647,97;283343,47;220001,39;296522,39;334123,54;388418,10;342797,60;321602,65;224851,00;148886,70;87267,12;
