Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;12.761,73;27.435,47;23.943,69;235.798,99;133.917,15;182.418,45;130.764,50;221.054,18;343.248,96;380.718,64;229.292,16;235.591,10;
Banten;22.227.097,75;7.064.506,02;1.444.384,96;18.861.403,42;8.118.400,63;13.552.841,62;2.207.869,93;2.121.266,41;1.313.000,41;1.082.154,95;1.848.447,47;6.718.822,94;
Daerah Istimewa Yogyakarta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.085,80;1.085,80;4.479,71;1.860,62;
Jambi;8.060.075,96;3.653.939,36;5.755.297,25;3.430.772,67;13.667.488,79;5.179.313,77;2.462.132,90;6.977.987,00;7.646.230,90;5.290.191,68;8.212.921,98;8.767.988,19;
Jawa Tengah;171.820.774,59;154.851.625,40;207.788.241,21;188.415.968,99;119.443.224,89;177.055.009,85;157.005.231,11;148.592.768,84;145.226.062,98;130.743.161,68;135.873.639,24;137.923.075,65;
Jawa Timur;284.185.013,44;263.522.607,34;264.836.653,33;275.029.775,42;230.736.714,32;260.839.012,98;239.200.360,76;241.301.519,78;232.694.099,47;227.544.866,77;216.792.267,92;207.783.194,42;
Kalimantan Barat;5.180.694,32;11.703.096,96;13.870.996,12;18.665.806,73;14.369.316,47;12.320.604,76;14.053.477,06;10.651.836,34;11.014.963,70;11.169.967,31;6.992.662,93;6.670.174,73;
Kalimantan Selatan;29.865.089,84;19.872.471,63;23.910.840,08;39.183.004,61;17.514.533,52;28.368.808,13;31.792.071,73;17.781.573,26;10.916.673,64;11.379.845,27;7.759.884,17;11.368.859,72;
Kalimantan Tengah;9.536.705,53;12.233.258,29;3.115.303,14;7.529.675,85;7.212.652,08;7.018.618,31;11.749.482,14;9.086.990,10;14.941.631,36;1.257.511,96;10.113.456,69;3.018.932,49;
Kalimantan Timur;17.232.785,77;17.703.199,18;15.217.659,05;30.902.526,13;6.904.263,61;16.251.310,36;21.584.838,49;15.842.097,66;16.096.645,70;15.346.492,08;7.721.938,60;17.996.377,84;
Kalimantan Utara;1.106.809,90;8.244.126,18;3.989.370,50;5.721.781,81;5.656.362,46;7.622.016,61;7.340.316,58;6.267.265,98;7.464.759,65;4.180.826,95;3.432.191,40;7.435.881,85;
Lampung;17.253.760,51;11.698.661,72;21.109.939,79;15.521.611,86;28.451.973,64;26.607.122,38;29.175.422,85;26.833.228,65;21.845.302,64;24.946.600,78;26.646.966,69;28.533.305,98;
Papua;8.845.227,70;14.787.078,32;7.926.975,70;15.732.715,38;1.105.696,55;3.102.852,91;2.078.596,08;5.641.381,39;3.212.467,09;0,00;2.895.055,47;0,00;
Riau;296.448.689,20;252.864.637,89;280.719.976,06;306.674.925,31;282.053.170,70;364.347.565,78;370.756.319,74;327.455.816,25;369.601.288,52;325.890.147,28;413.765.363,31;434.332.869,42;
Sulawesi Selatan;1.709.262,94;1.627.077,22;1.923.002,79;1.557.774,84;776.914,62;1.171.249,27;1.965.269,54;884.900,55;901.667,97;769.104,61;1.385.003,80;734.552,64;
Sumatera Barat;41.244,35;80.208,80;42.226,00;126.156,11;44.713,48;99.526,53;80.555,39;80.779,17;42.717,09;86.057,93;42.717,09;86.479,37;
Sumatera Selatan;112.055.644,50;111.223.260,00;150.283.818,42;138.081.305,02;95.016.730,29;49.458.285,98;186.432.256,49;200.011.088,92;162.838.372,54;140.484.137,96;134.133.883,26;180.785.320,48;
Sumatera Utara;22.922.033,79;29.777.611,14;28.742.658,25;27.700.949,32;18.572.528,74;28.711.635,83;25.193.823,27;25.602.172,90;20.090.566,47;17.977.883,33;17.281.793,00;16.247.690,69;
