Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;2538,03;2434,10;2814,78;3277,74;3178,51;4262,83;3454,64;3897,61;3703,33;2845,12;2713,72;3428,34;
Banten;6348,61;6762,46;6709,47;6577,74;6733,78;8411,66;9142,56;12115,58;9189,06;4334,65;6722,81;12820,99;
Daerah Istimewa Yogyakarta;9476,44;11380,21;10078,29;10389,64;6524,65;10046,52;9176,23;10397,49;10822,74;13583,24;9411,74;9428,42;
Jambi;454351,51;520433,06;592607,13;519609,73;282930,09;501049,44;531288,22;474606,32;484410,49;472013,92;415082,49;455454,84;
Jawa Tengah;284881,78;224189,44;256132,85;264258,68;190647,26;278535,95;257494,78;284508,49;302687,69;279958,42;270197,45;270037,38;
Jawa Timur;348919,80;351538,92;400953,47;392295,80;276479,70;418367,94;397871,58;429793,01;442157,69;396590,05;369070,37;376586,16;
Kalimantan Barat;81680,56;42263,84;70026,32;72162,24;83882,41;81565,53;80271,87;83058,84;82892,00;65790,73;93406,82;80772,26;
Kalimantan Selatan;32102,58;30383,43;33783,63;17264,77;21011,29;32434,58;17799,13;27603,98;17319,80;19908,54;28666,81;25652,87;
Kalimantan Tengah;247923,28;212705,69;202133,80;271957,95;304344,53;322621,90;305191,75;248295,92;329646,19;289205,62;293097,38;248297,12;
Kalimantan Timur;286115,26;316675,86;394563,07;315221,38;368254,20;408116,85;445102,18;420479,37;353428,10;457556,40;444831,84;322914,73;
Kalimantan Utara;63523,51;80948,84;94089,41;93574,09;75797,10;88118,91;116262,63;110251,28;110094,62;103369,36;157403,70;83852,55;
Lampung;39219,25;39897,03;42957,52;48280,62;39018,96;61717,48;58487,05;61678,10;59295,22;55706,71;54490,93;46078,93;
Papua;34901,63;35512,92;52256,21;40555,67;47007,09;44504,09;52474,94;51385,65;46164,77;55031,27;59897,30;46265,96;
Riau;1612323,40;2113540,52;2401690,21;2290109,82;1270806,37;2168447,25;2361678,28;2268914,55;2216578,29;2241063,00;1724438,82;1999299,87;
Sulawesi Selatan;6957,92;8151,88;9435,33;8700,66;6167,78;8268,61;8386,74;8010,14;10886,96;12140,76;9363,97;10246,63;
Sumatera Barat;3790,67;4128,73;5999,51;8903,49;9825,93;8845,20;14218,10;14531,64;7805,68;15124,20;5639,20;3189,91;
Sumatera Selatan;768093,68;823752,59;931767,07;934146,34;593073,87;1002559,24;1069626,36;1086681,79;1052121,67;1043526,70;871025,95;859455,71;
Sumatera Utara;133903,83;209720,83;223057,77;235807,32;184426,71;213763,51;198594,12;199206,17;212215,71;226389,05;200642,68;194217,73;
