Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;1.001,69;824,04;1.425,05;890,15;1.628,57;1.861,85;1.441,31;798,83;1.310,42;1.493,47;1.716,78;1.907,81;
Banten;10.862,78;10.931,87;12.139,15;11.952,20;9.645,72;12.552,34;13.117,01;12.485,14;9.750,38;16.376,42;15.926,55;9.515,67;
Daerah Istimewa Yogyakarta;976,00;1.235,14;1.251,65;1.126,92;855,71;1.399,90;1.146,58;1.019,13;1.512,57;1.535,28;988,50;853,29;
Jambi;428.194,66;355.936,12;414.911,73;410.874,77;373.546,89;400.496,35;418.661,86;393.205,56;434.814,89;413.029,32;378.265,65;432.405,03;
Jawa Tengah;194.310,14;182.422,17;208.046,38;200.126,44;158.176,59;214.838,43;207.199,57;216.919,41;240.057,83;221.718,91;214.811,00;217.512,71;
Jawa Timur;268.533,52;253.866,43;298.656,74;290.233,94;221.277,31;310.469,48;308.117,62;314.311,86;319.811,01;314.152,48;339.115,80;290.607,26;
Kalimantan Barat;16.113,83;16.474,76;20.452,00;20.069,24;16.947,32;21.658,15;19.984,61;19.388,61;20.543,06;16.737,82;20.519,37;18.307,35;
Kalimantan Selatan;41.217,99;35.563,94;46.490,23;47.204,05;43.412,02;52.989,81;58.282,04;58.882,04;54.825,97;61.100,17;53.081,04;63.307,89;
Kalimantan Tengah;98.045,10;101.150,83;97.672,93;107.244,32;85.081,38;107.590,76;111.796,35;107.601,91;108.940,65;101.289,55;82.977,09;94.601,90;
Kalimantan Timur;32.898,57;29.551,17;31.271,07;35.323,78;29.207,85;62.758,13;82.755,30;79.092,75;75.482,92;77.272,82;94.743,97;78.515,88;
Kalimantan Utara;10.356,02;10.377,55;11.181,90;10.451,20;6.972,88;11.363,26;10.779,39;12.727,73;13.572,44;7.495,87;12.115,80;12.299,25;
Lampung;18.803,24;16.643,03;18.504,78;20.933,30;18.616,58;24.214,54;25.035,99;24.497,65;23.282,04;17.911,64;22.435,45;19.294,24;
Papua;27.570,32;26.892,48;32.739,00;29.913,47;24.829,60;35.062,84;34.189,96;33.735,52;38.294,13;34.577,31;41.201,67;32.201,83;
Riau;2.419.512,66;2.174.261,20;2.420.584,00;2.323.098,79;2.182.875,85;2.325.310,66;2.346.636,96;2.424.055,11;2.245.296,39;2.333.867,28;2.288.687,14;2.364.430,03;
Sulawesi Selatan;9.589,41;9.203,04;10.425,12;12.342,05;8.652,60;9.134,00;8.354,89;10.336,60;12.992,30;12.251,19;12.278,76;12.340,11;
Sumatera Barat;2.219,80;2.279,35;3.519,35;3.426,18;172,11;1.426,47;114,94;193,02;144,59;194,39;49,24;1.162,68;
Sumatera Selatan;1.281.600,86;1.149.002,32;971.088,51;1.239.265,36;867.910,28;1.032.669,57;1.311.041,54;1.261.591,19;460.408,57;1.130.427,45;1.219.237,26;1.284.878,51;
Sumatera Utara;143.311,28;151.450,44;121.806,16;151.499,56;144.102,04;156.919,98;150.196,81;154.396,37;151.262,77;162.004,23;153.602,71;153.796,69;
