Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;277.882,29;231.059,69;274.277,42;230.072,96;236.566,23;280.903,08;335.965,00;124.916,97;200.749,33;272.813,35;382.212,22;232.015,06;
Banten;1.346.017,05;788.820,14;1.122.539,09;1.184.093,21;1.407.361,49;1.285.911,37;1.300.650,83;1.071.708,56;986.751,05;1.337.352,92;1.419.531,22;1.529.254,17;
Daerah Istimewa Yogyakarta;0,00;0,00;128,00;0,00;0,00;0,00;0,00;0,00;295,34;0,00;0,00;0,00;
Jambi;5.469.305,22;7.890.523,49;17.073.684,95;12.228.769,00;21.652.117,66;17.054.749,16;13.250.829,18;12.102.767,28;11.422.733,67;13.203.369,30;11.130.108,76;9.390.464,03;
Jawa Tengah;135.054.343,41;138.069.451,79;148.062.925,83;105.832.754,83;144.516.938,66;137.879.897,71;139.652.334,57;146.172.842,76;137.721.433,32;141.934.702,91;143.475.528,56;131.877.842,63;
Jawa Timur;206.098.602,82;196.718.317,45;227.877.407,52;163.630.895,71;225.160.002,94;202.026.885,40;223.646.149,29;227.456.826,12;273.746.062,14;230.945.103,51;207.386.215,31;224.329.743,37;
Kalimantan Barat;5.915.372,68;4.846.135,40;4.815.162,45;4.313.869,62;5.623.287,92;5.170.084,48;5.619.626,91;3.896.784,17;1.735.163,05;3.173.960,83;2.416.910,52;2.952.917,91;
Kalimantan Selatan;9.076.200,37;8.637.200,48;10.345.180,31;8.770.423,70;12.450.380,22;13.158.050,05;14.682.605,82;6.809.898,05;399.714,58;287.287,84;43.155,89;0,00;
Kalimantan Tengah;13.260.899,67;10.313.057,59;10.193.376,94;4.657.007,10;10.318.019,87;8.952.334,23;11.140.369,84;8.566.434,75;6.972.888,25;16.105.898,75;7.466.900,34;12.713.976,57;
Kalimantan Timur;14.259.539,93;13.778.257,47;11.583.196,66;10.668.097,00;11.135.905,02;8.908.819,58;11.570.208,62;4.214.302,91;6.156.295,16;8.666.205,17;3.458.890,85;10.802.538,27;
Kalimantan Utara;2.833.970,93;6.467.585,59;3.705.150,58;2.280.035,73;6.071.920,77;3.897.814,32;3.655.363,37;2.073.522,39;0,00;1.151.982,92;977.419,47;0,00;
Lampung;32.930.773,09;23.861.521,03;30.226.395,99;27.693.766,05;21.568.242,12;31.918.108,10;15.232.473,53;20.411.653,91;14.312.138,62;22.235.363,73;3.801.344,26;19.002.785,33;
Papua;2.026.409,71;519.494,53;3.416.767,97;0,00;0,00;2.279.014,67;1.447.018,92;1.633.311,71;0,00;2.787.607,08;0,00;7.556.097,49;
Riau;345.474.720,42;361.987.922,31;365.322.048,93;328.925.536,56;400.647.583,79;305.251.910,86;286.800.217,63;318.046.267,36;320.294.580,31;335.781.915,07;348.163.632,60;349.259.153,76;
Sulawesi Selatan;715.454,48;827.021,16;612.300,15;261.770,37;560.548,99;329.906,92;403.354,84;336.532,45;439.690,14;369.046,45;316.456,20;295.207,05;
Sumatera Barat;95.337,72;60.417,77;0,00;0,00;104.986,72;0,00;128.653,07;42.819,84;0,00;0,00;0,00;0,00;
Sumatera Selatan;113.019.551,39;98.472.674,12;166.939.514,60;134.007.653,58;170.176.189,28;122.164.999,61;111.451.882,53;116.035.540,92;85.258.298,81;102.822.035,46;101.052.399,90;128.298.488,01;
Sumatera Utara;15.260.612,11;16.388.113,87;21.982.587,33;12.109.319,37;19.112.657,24;20.541.620,73;16.613.687,23;18.469.838,22;16.093.850,58;21.043.345,60;15.222.874,15;16.138.091,26;
