Provinsi;January;February;March;April;May;June;July;August;September;October;November;December;
Bali;1.429,31;803,81;829,67;668,06;458,88;748,24;1.478,32;1.276,37;1.105,76;1.576,75;1.744,90;1.379,47;
Banten;14.311,03;14.546,56;15.139,33;12.297,34;7.045,50;10.755,57;10.484,68;9.931,39;10.755,53;11.129,32;11.033,78;9.051,13;
Daerah Istimewa Yogyakarta;678,54;400,86;1.490,47;1.903,93;1.211,44;463,78;1.556,18;1.215,46;1.682,94;1.244,42;1.860,95;831,34;
Jambi;372.781,14;389.578,94;410.507,20;391.953,25;413.453,95;352.687,19;413.767,99;260.112,90;415.772,00;409.093,36;399.914,80;410.089,56;
Jawa Tengah;187.390,40;180.776,12;179.527,23;166.977,11;139.622,96;160.825,92;172.398,12;168.860,90;186.388,24;188.494,40;183.521,82;174.384,77;
Jawa Timur;242.977,11;248.770,08;245.485,34;223.245,31;157.513,42;208.313,96;241.748,14;236.600,76;268.030,46;274.991,89;270.627,51;257.378,86;
Kalimantan Barat;19.138,21;17.322,98;18.827,33;18.535,15;15.165,38;19.137,48;20.313,53;13.508,87;14.660,93;14.604,28;16.142,21;15.643,97;
Kalimantan Selatan;58.740,96;60.374,63;59.650,32;54.690,40;41.818,95;54.661,26;55.065,73;47.450,94;55.156,08;56.936,10;52.347,31;49.321,31;
Kalimantan Tengah;80.065,60;82.849,59;79.316,73;82.538,93;71.627,59;62.896,36;69.319,22;71.060,30;81.227,02;71.897,69;75.168,80;62.859,95;
Kalimantan Timur;37.704,94;35.649,29;41.141,62;37.732,54;30.697,74;30.148,79;34.583,17;33.993,24;39.444,16;32.395,26;31.225,74;30.059,70;
Kalimantan Utara;15.029,14;14.647,99;10.799,73;11.889,34;7.712,63;13.288,71;13.374,30;12.180,97;13.775,30;12.902,38;12.879,94;12.010,54;
Lampung;24.834,73;22.897,82;25.606,80;21.838,69;12.954,97;19.920,15;23.193,65;25.920,84;24.728,35;23.081,79;22.729,18;23.615,12;
Papua;25.252,72;29.810,42;33.191,09;27.696,00;22.643,15;32.201,79;31.345,39;30.739,86;32.888,44;31.014,01;33.226,81;27.753,43;
Riau;2.290.022,95;2.132.175,02;2.223.878,12;2.187.122,56;2.305.699,49;2.204.790,21;2.070.708,90;2.267.845,45;2.136.330,29;2.255.957,22;2.232.250,19;2.124.213,85;
Sulawesi Selatan;16.890,03;16.917,77;14.553,62;13.274,96;9.129,41;12.590,58;13.396,53;12.630,05;13.245,00;13.239,30;12.318,22;11.107,28;
Sumatera Barat;154,49;1.093,42;1.424,07;369,15;233,88;723,20;367,25;229,58;205,16;330,81;338,62;70,27;
Sumatera Selatan;1.022.262,46;966.560,12;627.756,90;1.156.244,67;1.278.960,49;1.077.703,19;1.298.422,47;1.230.861,33;1.181.521,20;1.255.587,78;1.215.577,89;1.245.411,46;
Sumatera Utara;162.175,69;152.515,91;181.507,26;171.285,95;155.299,30;165.895,89;169.525,04;158.204,23;159.512,73;166.194,84;148.604,47;152.625,40;
